sbe	entry- index	start	end	full- src	full- tr	SND- Filename
1002.SBE	0	1	60	Excuse me. Got a light?	실례합니다. 불 좀 빌릴 수 있을까요?	1002.SND
1002.SBE	1	225	240	Thanks.	감사합니다.	1002.SND
1002.SBE	2	255	330	Haven't we met somewhere before?	우리 예전에 어디서 본 적 없나요?	1002.SND
1002.SBE	3	331	602	It's possible. I don't think I would have remembered.	그럴 수도 있겠네요. 제가 기억했을 것 같지는 않지만요.	1002.SND
1002D.SBE	0	1	60	Excuse me. Got a light?	실례합니다. 불 좀 빌릴 수 있을까요?	1002D.SND
1002D.SBE	1	225	240	Thanks.	감사합니다.	1002D.SND
1002D.SBE	2	255	330	Haven't we met somewhere before?	우리 예전에 어디서 본 적 없나요?	1002D.SND
1002D.SBE	3	331	602	It's possible. I don't think I would have remembered.	그럴 수도 있겠네요. 제가 기억했을 것 같지는 않지만요.	1002D.SND
1003.SBE	0	1	45	Mind if I join you?	같이 앉아도 될까요?	1003.SND
1003.SBE	1	60	190	That's bold. Is it customary in America to be so forward?	대담하시네요. 미국에서는 그렇게 적극적으로 구는 게 보통인가요?	1003.SND
1003.SBE	2	195	255	In certain circles it's not unheard of.	어떤 사람들 사이에서는 드문 일도 아니죠.	1003.SND
1003.SBE	3	260	330	I must have been moving in the wrong circles.	그럼 제가 어울리던 쪽이 달랐나 보군요.	1003.SND
1003.SBE	4	345	400	I hope you find somewhere to sit.	앉을 자리는 다른 데서 찾으시죠.	1003.SND
1005.SBE	0	30	60	Herr Whitney?	헤어 휘트니?	1005.SND
1005.SBE	1	61	180	My name is Robert Cath, and I'm looking for herr Whitney myself.	제 이름은 로버트 캐스입니다. 저도 헤어 휘트니를 찾고 있습니다.	1005.SND
1005.SBE	2	181	240	I don't suppose you know where I might find him?	그가 어디 있는지 혹시 아십니까?	1005.SND
1005.SBE	3	270	330	I have had enough of this nonsense.	이런 말도 안되는 상황엔 이제 질렸어.	1005.SND
1006.SBE	0	1	100	Herr Whitney? You are different than I had imagined.	헤어 휘트니? 제가 상상하던 모습과는 다르군요.	1006.SND
1006.SBE	1	101	190	Sorry to keep you waiting, I ran across an old friend.	기다리게 해서 죄송합니다. 오랜 친구를 우연히 만나서요.	1006.SND
1006.SBE	2	191	300	One does have the most unexpected encounters on trains.	열차에서는 예상치 못한 사람을 만나기도 하죠.	1006.SND
1006.SBE	3	301	345	Shall we get on to business?	그럼 본론으로 들어갈까요?	1006.SND
1006.SBE	4	346	405	Have you brought the gold?	금은 가져오셨습니까?	1006.SND
1006.SBE	5	460	540	First you kept me waiting, now you don't answer me.	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.	1006.SND
1006.SBE	6	541	615	I have kept my half of the bargain.	저는 제 몫의 약속은 지켰습니다.	1006.SND
1006.SBE	7	616	705	If something has gone wrong, I would like to know it!	문제가 생겼다면, 내가 알아야겠습니다!	1006.SND
1006.SBE	8	706	750	Nothing has gone wrong.	아무 문제 없습니다.	1006.SND
1006.SBE	9	765	930	I'm glad. I trust that you will not mind if I ask to see the gold?	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?	1006.SND
1006.SBE	10	931	1040	I trust you won't mind either if I ask to see what I'm buying?	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?	1006.SND
1006.SBE	11	1041	1125	To see it? But you know that is impossible!	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!	1006.SND
1006.SBE	12	1126	1230	The merchandise will be put on the train at Munich.	물건은 뮌헨에서 열차에 실릴 겁니다.	1006.SND
1006.SBE	13	1231	1275	It is what we agreed!	그게 우리가 합의한 내용이오!	1006.SND
1006.SBE	14	1276	1335	Good. Then we're even.	좋습니다. 그럼 서로 조건은 맞는 셈이군요.	1006.SND
1006.SBE	15	1350	1400	Herr Schmidt, it's been a pleasure.	헤어 슈미트, 즐거웠습니다.	1006.SND
1006.SBE	16	1401	1470	We'll talk again after Munich.	뮌헨을 지난 뒤에 다시 이야기하죠.	1006.SND
1006A.SBE	0	1	100	Herr Whitney? You are different than I had imagined.	헤어 휘트니? 제가 상상하던 모습과는 다르군요.	1006A.SND
1006A.SBE	1	101	190	Sorry to keep you waiting, I ran across an old friend.	기다리게 해서 죄송합니다. 오랜 친구를 우연히 만나서요.	1006A.SND
1006A.SBE	2	191	300	One does have the most unexpected encounters on trains.	열차에서는 예상치 못한 사람을 만나기도 하죠.	1006A.SND
1006A.SBE	3	301	345	Shall we get on to business?	그럼 본론으로 들어갈까요?	1006A.SND
1006A.SBE	4	346	405	Have you brought the gold?	금은 가져오셨습니까?	1006A.SND
1006A.SBE	5	460	540	First you kept me waiting, now you don't answer me.	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.	1006A.SND
1006A.SBE	6	541	615	I have kept my half of the bargain.	저는 제 몫의 약속은 지켰습니다.	1006A.SND
1006A.SBE	7	616	705	If something has gone wrong, I would like to know it!	문제가 생겼다면, 내가 알아야겠습니다!	1006A.SND
1006A.SBE	8	706	750	Nothing has gone wrong.	아무 문제 없습니다.	1006A.SND
1006A.SBE	9	765	930	I'm glad. I trust that you will not mind if I ask to see the gold?	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?	1006A.SND
1006A.SBE	10	931	1040	I trust you won't mind either if I ask to see what I'm buying?	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?	1006A.SND
1006A.SBE	11	1041	1125	To see it? But you know that is impossible!	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!	1006A.SND
1006A.SBE	12	1126	1230	The merchandise will be put on the train at Munich.	물건은 뮌헨에서 열차에 실릴 겁니다.	1006A.SND
1006A.SBE	13	1231	1275	It is what we agreed!	그게 우리가 합의한 내용이오!	1006A.SND
1006A.SBE	14	1276	1335	Good. Then we're even.	좋습니다. 그럼 서로 조건은 맞는 셈이군요.	1006A.SND
1006A.SBE	15	1350	1400	Herr Schmidt, it's been a pleasure.	헤어 슈미트, 즐거웠습니다.	1006A.SND
1006A.SBE	16	1401	1470	We'll talk again after Munich.	뮌헨을 지난 뒤에 다시 이야기하죠.	1006A.SND
1008.SBE	0	1	45	Herr Whitney.	헤어 휘트니.	1008.SND
1008.SBE	1	60	105	I was beginning to wonder	슬슬 궁금해지더군요.	1008.SND
1008.SBE	2	106	240	if I would ever have the pleasure of making your acquaintance.	과연 당신과 인사를 나눌 기회가 있긴 할지요.	1008.SND
1008.SBE	3	300	330	Have you brought the gold?	금은 가져오셨습니까?	1008.SND
1008.SBE	4	390	480	First you kept me waiting, now you don't answer me.	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.	1008.SND
1008.SBE	5	490	570	I have kept my half of the bargain.	저는 제 몫의 약속은 지켰습니다.	1008.SND
1008.SBE	6	571	660	If something has gone wrong, I would like to know it!	문제가 생겼다면, 내가 알아야겠습니다!	1008.SND
1008.SBE	7	661	700	Nothing has gone wrong.	아무 문제 없습니다.	1008.SND
1008.SBE	8	710	885	I'm glad. I trust that you will not mind if I ask to see the gold?	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?	1008.SND
1008.SBE	9	890	1000	I trust you won't mind either if I ask to see what I'm buying?	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?	1008.SND
1008.SBE	10	1001	1080	To see it? But you know that is impossible!	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!	1008.SND
1008.SBE	11	1081	1200	The merchandise will be put on the train at Munich.	물건은 뮌헨에서 열차에 실릴 겁니다.	1008.SND
1008.SBE	12	1201	1245	It is what we agreed!	그게 우리가 합의한 내용이오!	1008.SND
1008.SBE	13	1246	1305	Good. Then we're even.	좋습니다. 그럼 서로 조건은 맞는 셈이군요.	1008.SND
1008.SBE	14	1320	1360	Herr Schmidt, it's been a pleasure.	헤어 슈미트, 즐거웠습니다.	1008.SND
1008.SBE	15	1361	1430	We'll talk again after Munich.	뮌헨을 지난 뒤에 다시 이야기하죠.	1008.SND
1008A.SBE	0	37	81	Herr Whitney.	헤어 휘트니.	1008A.SND
1008A.SBE	1	82	129	I was beginning to wonder	슬슬 궁금해지더군요.	1008A.SND
1008A.SBE	2	130	255	if I would ever have the pleasure of making your acquaintance.	과연 당신과 인사를 나눌 기회가 있긴 할지요.	1008A.SND
1008A.SBE	3	256	302	Have you brought the gold?	금은 가져오셨습니까?	1008A.SND
1008A.SBE	4	360	449	First you kept me waiting, now you don't answer me.	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.	1008A.SND
1008A.SBE	5	463	533	I have kept my half of the bargain.	저는 제 몫의 약속은 지켰습니다.	1008A.SND
1008A.SBE	6	534	622	If something has gone wrong, I would like to know it!	문제가 생겼다면, 내가 알아야겠습니다!	1008A.SND
1008A.SBE	7	623	676	Nothing has gone wrong.	아무 문제 없습니다.	1008A.SND
1008A.SBE	8	677	854	I'm glad. I trust that you will not mind if I ask to see the gold?	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?	1008A.SND
1008A.SBE	9	855	963	I trust you won't mind either if I ask to see what I'm buying?	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?	1008A.SND
1008A.SBE	10	964	1053	To see it? But you know that is impossible!	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!	1008A.SND
1008A.SBE	11	1054	1160	The merchandise will be put on the train at Munich.	물건은 뮌헨에서 열차에 실릴 겁니다.	1008A.SND
1008A.SBE	12	1161	1205	It is what we agreed!	그게 우리가 합의한 내용이오!	1008A.SND
1008A.SBE	13	1206	1260	Good. Then we're even.	좋습니다. 그럼 서로 조건은 맞는 셈이군요.	1008A.SND
1008A.SBE	14	1261	1324	Herr Schmidt, it's been a pleasure.	헤어 슈미트, 즐거웠습니다.	1008A.SND
1008A.SBE	15	1325	1399	We'll talk again after Munich.	뮌헨을 지난 뒤에 다시 이야기하죠.	1008A.SND
1008AN.SBE	0	37	81	Herr Whitney.	헤어 휘트니.	1008AN.SND
1008AN.SBE	1	82	129	I was beginning to wonder	슬슬 궁금해지더군요.	1008AN.SND
1008AN.SBE	2	130	255	if I would ever have the pleasure of making your acquaintance.	과연 당신과 인사를 나눌 기회가 있긴 할지요.	1008AN.SND
1008AN.SBE	3	256	302	Have you brought the gold?	금은 가져오셨습니까?	1008AN.SND
