sbe	entry-index	full-tr
1002.SBE	0	실례합니다. 불 좀 빌릴 수 있을까요?
1002.SBE	1	감사합니다.
1002.SBE	2	우리 예전에 어디서 본 적 없나요?
1002.SBE	3	그럴 수도 있겠네요. 제가 기억했을 것 같지는 않지만요.
1002D.SBE	0	실례합니다. 불 좀 빌릴 수 있을까요?
1002D.SBE	1	감사합니다.
1002D.SBE	2	우리 예전에 어디서 본 적 없나요?
1002D.SBE	3	그럴 수도 있겠네요. 제가 기억했을 것 같지는 않지만요.
1003.SBE	0	같이 앉아도 될까요?
1003.SBE	1	대담하시네요. 미국에서는 그렇게 적극적으로 구는 게 보통인가요?
1003.SBE	2	어떤 사람들 사이에서는 드문 일도 아니죠.
1003.SBE	3	그럼 제가 어울리던 쪽이 달랐나 보군요.
1003.SBE	4	앉을 자리는 다른 데서 찾으시죠.
1005.SBE	0	헤어 휘트니?
1005.SBE	1	제 이름은 로버트 캐스입니다. 저도 헤어 휘트니를 찾고 있습니다.
1005.SBE	2	그가 어디 있는지 혹시 아십니까?
1005.SBE	3	이런 말도 안되는 상황엔 이제 질렸어.
1006.SBE	0	헤어 휘트니? 제가 상상하던 모습과는 다르군요.
1006.SBE	1	기다리게 해서 죄송합니다. 오랜 친구를 우연히 만나서요.
1006.SBE	2	열차에서는 예상치 못한 사람을 만나기도 하죠.
1006.SBE	3	그럼 본론으로 들어갈까요?
1006.SBE	4	금은 가져오셨습니까?
1006.SBE	5	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.
1006.SBE	6	저는 제 몫의 약속은 지켰습니다.
1006.SBE	7	문제가 생겼다면, 내가 알아야겠습니다!
1006.SBE	8	아무 문제 없습니다.
1006.SBE	9	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?
1006.SBE	10	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?
1006.SBE	11	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!
1006.SBE	12	물건은 뮌헨에서 열차에 실릴 겁니다.
1006.SBE	13	그게 우리가 합의한 내용이오!
1006.SBE	14	좋습니다. 그럼 서로 조건은 맞는 셈이군요.
1006.SBE	15	헤어 슈미트, 즐거웠습니다.
1006.SBE	16	뮌헨을 지난 뒤에 다시 이야기하죠.
1006A.SBE	0	헤어 휘트니? 제가 상상하던 모습과는 다르군요.
1006A.SBE	1	기다리게 해서 죄송합니다. 오랜 친구를 우연히 만나서요.
1006A.SBE	2	열차에서는 예상치 못한 사람을 만나기도 하죠.
1006A.SBE	3	그럼 본론으로 들어갈까요?
1006A.SBE	4	금은 가져오셨습니까?
1006A.SBE	5	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.
1006A.SBE	6	저는 제 몫의 약속은 지켰습니다.
1006A.SBE	7	문제가 생겼다면, 내가 알아야겠습니다!
1006A.SBE	8	아무 문제 없습니다.
1006A.SBE	9	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?
1006A.SBE	10	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?
1006A.SBE	11	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!
1006A.SBE	12	물건은 뮌헨에서 열차에 실릴 겁니다.
1006A.SBE	13	그게 우리가 합의한 내용이오!
1006A.SBE	14	좋습니다. 그럼 서로 조건은 맞는 셈이군요.
1006A.SBE	15	헤어 슈미트, 즐거웠습니다.
1006A.SBE	16	뮌헨을 지난 뒤에 다시 이야기하죠.
1008.SBE	0	헤어 휘트니.
1008.SBE	1	슬슬 궁금해지더군요.
1008.SBE	2	과연 당신과 인사를 나눌 기회가 있긴 할지요.
1008.SBE	3	금은 가져오셨습니까?
1008.SBE	4	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.
1008.SBE	5	저는 제 몫의 약속은 지켰습니다.
1008.SBE	6	문제가 생겼다면, 내가 알아야겠습니다!
1008.SBE	7	아무 문제 없습니다.
1008.SBE	8	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?
1008.SBE	9	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?
1008.SBE	10	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!
1008.SBE	11	물건은 뮌헨에서 열차에 실릴 겁니다.
1008.SBE	12	그게 우리가 합의한 내용이오!
1008.SBE	13	좋습니다. 그럼 서로 조건은 맞는 셈이군요.
1008.SBE	14	헤어 슈미트, 즐거웠습니다.
1008.SBE	15	뮌헨을 지난 뒤에 다시 이야기하죠.
1008A.SBE	0	헤어 휘트니.
1008A.SBE	1	슬슬 궁금해지더군요.
1008A.SBE	2	과연 당신과 인사를 나눌 기회가 있긴 할지요.
1008A.SBE	3	금은 가져오셨습니까?
1008A.SBE	4	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.
1008A.SBE	5	저는 제 몫의 약속은 지켰습니다.
1008A.SBE	6	문제가 생겼다면, 내가 알아야겠습니다!
1008A.SBE	7	아무 문제 없습니다.
1008A.SBE	8	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?
1008A.SBE	9	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?
1008A.SBE	10	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!
1008A.SBE	11	물건은 뮌헨에서 열차에 실릴 겁니다.
1008A.SBE	12	그게 우리가 합의한 내용이오!
1008A.SBE	13	좋습니다. 그럼 서로 조건은 맞는 셈이군요.
1008A.SBE	14	헤어 슈미트, 즐거웠습니다.
1008A.SBE	15	뮌헨을 지난 뒤에 다시 이야기하죠.
1008AN.SBE	0	헤어 휘트니.
1008AN.SBE	1	슬슬 궁금해지더군요.
1008AN.SBE	2	과연 당신과 인사를 나눌 기회가 있긴 할지요.
1008AN.SBE	3	금은 가져오셨습니까?
1008AN.SBE	4	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.
1008AN.SBE	5	저는 제 몫의 약속은 지켰습니다.
1008AN.SBE	6	문제가 생겼다면, 내가 알아야겠습니다!
1008AN.SBE	7	아무 문제 없습니다.
1008AN.SBE	8	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?
1008AN.SBE	9	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?
1008AN.SBE	10	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!
1008AN.SBE	11	물건은 뮌헨에서 열차에 실릴 겁니다.
1008AN.SBE	12	그게 우리가 합의한 내용이오!
1008AN.SBE	13	좋습니다. 그럼 서로 조건은 맞는 셈이군요.
1008AN.SBE	14	헤어 슈미트, 즐거웠습니다.
1008AN.SBE	15	뮌헨을 지난 뒤에 다시 이야기하죠.
1008N.SBE	0	헤어 휘트니.
1008N.SBE	1	슬슬 궁금해지더군요.
1008N.SBE	2	과연 당신과 인사를 나눌 기회가 있긴 할지요.
1008N.SBE	3	금은 가져오셨습니까?
1008N.SBE	4	처음엔 절 기다리게 하더니, 이젠 대답도 안 하는군요.
1008N.SBE	5	저는 제 몫의 약속은 지켰습니다.
1008N.SBE	6	문제가 생겼다면, 제가 알아야겠습니다!
1008N.SBE	7	아무 문제 없습니다.
1008N.SBE	8	다행이군요. 그럼 금을 보여 달라고 해도 괜찮겠지요?
1008N.SBE	9	그럼 제가 사는 물건을 보여 달라고 해도 괜찮겠지요?
1008N.SBE	10	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!
1008N.SBE	11	물건은 뮌헨에서 열차에 실릴 겁니다.
1008N.SBE	12	그게 우리가 합의한 내용이오!
1008N.SBE	13	좋습니다. 그럼 서로 조건은 맞는 셈이군요.
1008N.SBE	14	헤어 슈미트, 즐거웠습니다.
1008N.SBE	15	뮌헨을 지난 뒤에 다시 이야기하죠.
